clear
[H[2J[3Jgcc -o prog *.c -lm
./prog ./input/N10000_S50_C300_M10.txt ./output/saida.txt
4025 ( 2.613867 )
4031 ( 2.930035 )
4036 ( 1.808646 )
4043 ( 3.199639 )
4054 ( 2.875053 )
4063 ( 1.875416 )
4071 ( 2.304931 )
4079 ( 3.931503 )
4109 ( 3.663619 )
4132 ( 3.105863 )
4138 ( 2.786241 )
4153 ( 3.303524 )
4157 ( 3.248620 )
4240 ( 3.148412 )
4272 ( 2.833400 )
4273 ( 3.266256 )
4316 ( 2.706035 )
4388 ( 2.757530 )
4505 ( 3.522003 )
4652 ( 2.996266 )
4705 ( 3.222131 )
4723 ( 2.751162 )
4744 ( 3.506067 )
4751 ( 2.881860 )
4764 ( 3.202912 )
4766 ( 1.824602 )
4797 ( 3.286475 )
4800 ( 3.584758 )
4831 ( 2.810534 )
4837 ( 3.136356 )
4953 ( 2.859929 )
4965 ( 3.484026 )
5005 ( 3.703392 )
5047 ( 3.015446 )
5089 ( 3.133534 )
5124 ( 2.652225 )
5127 ( 3.045041 )
5242 ( 1.638922 )
5294 ( 2.336605 )
5318 ( 3.321998 )
5321 ( 2.592294 )
5453 ( 1.946553 )
5462 ( 3.423785 )
5535 ( 1.638573 )
5538 ( 3.343578 )
5570 ( 2.364772 )
5602 ( 2.412414 )
5662 ( 2.373231 )
5784 ( 2.911766 )
5808 ( 3.089439 )
5822 ( 3.135404 )
5908 ( 2.436528 )
5937 ( 3.519584 )
5978 ( 3.252988 )
6005 ( 2.654176 )
6028 ( 3.562782 )
